AGE OF MOTHER,AGE OF FATHER,YEAR,COUNT
59,40-44,2016,0
59,45-49,2016,0
59,50-54,2016,0
59,55-59,2016,0
59,60-64,2016,0
59,65+,2016,0
59,Not Stated,2016,0
Not Stated,<20,2016,0
Not Stated,20-24,2016,0
Not Stated,25-29,2016,0
Not Stated,30-34,2016,0
Not Stated,35-39,2016,0
Not Stated,40-44,2016,1
Not Stated,45-49,2016,0
Not Stated,50-54,2016,0
Not Stated,55-59,2016,0
Not Stated,60-64,2016,0
Not Stated,65+,2016,0
Not Stated,Not Stated,2016,4
12,<20,2017,0
12,20-24,2017,0
12,25-29,2017,0
12,30-34,2017,0
12,35-39,2017,0
12,40-44,2017,0
12,45-49,2017,0
12,50-54,2017,0
12,55-59,2017,0
12,60-64,2017,0
12,65+,2017,0
12,Not Stated,2017,0
13,<20,2017,0
13,20-24,2017,0
13,25-29,2017,0
13,30-34,2017,0
13,35-39,2017,0
13,40-44,2017,0
13,45-49,2017,0
13,50-54,2017,0
13,55-59,2017,0
13,60-64,2017,0
13,65+,2017,0
13,Not Stated,2017,0
14,<20,2017,0
14,20-24,2017,0
14,25-29,2017,0
14,30-34,2017,0
14,35-39,2017,0
14,40-44,2017,0
14,45-49,2017,0
14,50-54,2017,0
14,55-59,2017,0
14,60-64,2017,0
14,65+,2017,0
14,Not Stated,2017,1
15,<20,2017,1
15,20-24,2017,1
15,25-29,2017,0
15,30-34,2017,0
15,35-39,2017,0
15,40-44,2017,0
15,45-49,2017,0
15,50-54,2017,0
15,55-59,2017,0
15,60-64,2017,0
15,65+,2017,0
15,Not Stated,2017,2
16,<20,2017,7
16,20-24,2017,1
16,25-29,2017,1
16,30-34,2017,0
16,35-39,2017,0
16,40-44,2017,0
16,45-49,2017,0
16,50-54,2017,0
16,55-59,2017,0
16,60-64,2017,0
16,65+,2017,0
16,Not Stated,2017,5
17,<20,2017,13
17,20-24,2017,10
17,25-29,2017,3
17,30-34,2017,0
17,35-39,2017,0
17,40-44,2017,0
17,45-49,2017,0
17,50-54,2017,0
17,55-59,2017,0
17,60-64,2017,0
17,65+,2017,0
17,Not Stated,2017,14
18,<20,2017,15
18,20-24,2017,22
18,25-29,2017,5
18,30-34,2017,0
18,35-39,2017,0
18,40-44,2017,1
18,45-49,2017,1
18,50-54,2017,0
18,55-59,2017,0
18,60-64,2017,0
18,65+,2017,0
18,Not Stated,2017,25
19,<20,2017,26
19,20-24,2017,67
19,25-29,2017,15
19,30-34,2017,5
19,35-39,2017,1
19,40-44,2017,0
19,45-49,2017,0
19,50-54,2017,1
19,55-59,2017,0
19,60-64,2017,0
19,65+,2017,0
19,Not Stated,2017,31
20,<20,2017,12
